2026-03-11 15:08:41 |WARN  |not.a.Spring.bean-2071 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:08:43 |WARN  |not.a.Spring.bean-2072 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:08:45 |WARN  |not.a.Spring.bean-2073 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:08:47 |WARN  |not.a.Spring.bean-2074 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:08:50 |WARN  |not.a.Spring.bean-2075 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:08:52 |WARN  |not.a.Spring.bean-2076 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:08:54 |WARN  |not.a.Spring.bean-2077 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:08:56 |WARN  |not.a.Spring.bean-2078 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:08:58 |WARN  |not.a.Spring.bean-2079 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:09:01 |WARN  |not.a.Spring.bean-2080 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
